country,game,playerID,playerName,totalOverall
United States,Fortnite,Bugha,Kyle Giersdorf,3069883.34
United States,Dota 2,UNiVeRsE,Saahil Arora,3057237.67
United States,Dota 2,ppd,Peter Dager,3021731.36
United States,Dota 2,Fear,Clinton Loomis,2550790.19
United States,Fortnite,psalm,Harrison Chang,1950950.0
United States,Fortnite,EpikWhale,Shane Cotton,1327791.54
United States,Fortnite,Ceice,Davis McClellan,1099888.8
United States,Counter-Strike: Global Offensive,Stewie2k,Jakey Yip,1065290.0
United States,Fortnite,Saf,Rocco Morales,1061497.13
United States,Counter-Strike: Global Offensive,nitr0,Nick Cannella,917991.73
United States,Counter-Strike: Global Offensive,ELiGE,Jonathan Jablonowski,908946.42
United States,Call of Duty: Infinite Warfare,Crimsix,Ian Porter,830909.47
United States,Dota 2,Moo,David Hull,811493.86
United States,Call of Duty: Black Ops 4,Clayster,James Eubanks,772396.68
United States,Counter-Strike: Global Offensive,tarik,Tarik Celik,752239.21
United States,Call of Duty: Infinite Warfare,Scump,Seth Abner,713060.35
United States,Call of Duty: Black Ops III,JKap,Jordan Kaplan,709367.98
United States,Call of Duty: Infinite Warfare,FormaL,Matthew Piper,691132.18
United States,Mortal Kombat X,SonicFox,Dominique Mclean,676770.48
United States,Halo 5: Guardians,Lethul,Tony Campbell,667375.0
United States,Halo 5: Guardians,SnakeBite,Paul Duarte,658625.0
United States,Halo 5: Guardians,Frosty,Bradley Bergstrom,647600.0
United States,Call of Duty: Black Ops III,Slasher,Austin Liddicoat,645933.4
United States,Fortnite,Bizzle,Timothy Miller,623166.66
United States,Fortnite,Tfue,Turner Tenney,609425.0
United States,Call of Duty: Black Ops III,Apathy,Bryan Zhelyazkov,582347.5
United States,Fortnite,Arkhram,Diego Lima,576466.67
United States,Counter-Strike: Global Offensive,Rush,Will Wierzba,569416.0
United States,Call of Duty: Black Ops III,John,Johnathan Perez,523566.26
United States,StarCraft II,Neeb,Alex Sunderhaft,496323.83
United States,Call of Duty: Black Ops 4,Arcitys,Alec Sanderson,491579.1
United States,Call of Duty: Black Ops 4,Enable,Ian Wyatt,489713.79
United States,Fortnite,ZexRow,Anthony Colandro,489008.06
United States,Dota 2,MSS,Arif Anwar,488067.98
United States,Call of Duty: World War II,Aches,Patrick Price,478056.76
United States,Fortnite,Falconer,Brendan Falconer,476200.0
United States,Call of Duty: Black Ops 4,Prestinni,Preston Sanderson,475873.43
United States,Dota 2,ninjaboogie,Michael Ross,474636.39
United States,Painkiller,Fatal1ty,Johnathan Wendel,458089.23
United States,Counter-Strike: Global Offensive,Skadoodle,Tyler Latham,454679.98
United States,Counter-Strike: Global Offensive,autimatic,Timothy Ta,443736.23
United States,Fortnite,Cloakzy,Dennis Lepore,442275.01
United States,Fortnite,Vivid,Noah Wright,442033.33
United States,Dota 2,CCnC,Quinn Callahan,435866.4
United States,Fortnite,Dubs,Daniel Walsh,432966.66
United States,Fortnite,Nate Hill,Nate Hill,427400.0
United States,Dota 2,Sneyking,Jing Jun Wu,401034.42
United States,Call of Duty: Black Ops 4,Octane,Sam Larew,393948.75
United States,Madden NFL 2013,Problem,Eric Wright,391600.0
United States,Halo 5: Guardians,Pistola,Justin Deese,384260.0
United States,Call of Duty: Advanced Warfare,Attach,Dillon Price,382940.02
United States,Call of Duty: Black Ops 4,aBeZy,Tyler Pharris,372264.01
United States,Super Smash Bros. Melee,Hungrybox,Juan Debiedma,369610.81
United States,Counter-Strike: Global Offensive,Brehze,Vincent Cayonte,363723.94
United States,Counter-Strike: Global Offensive,nahtE,Ethan Arnold,361880.38
United States,Call of Duty: Infinite Warfare,Slacked,Josiah Berry,360209.65
United States,Halo 5: Guardians,Snipedown,Eric Wrona,352119.18
United States,Fortnite,POACH,Jake Brumleve,349325.0
United States,Fortnite,Megga,Noam Ackenine,347799.99
United States,Fortnite,Cizzorz,Jack -,346750.0
United States,Fortnite,Riversan,River Handley,345033.33
United States,Quake Champions,rapha,Shane Hendrixson,340552.97
United States,Call of Duty: Black Ops 4,Simp,Christopher Lehr,335745.0
United States,Street Fighter V,Punk,Victor Woodley,333580.68
United States,Halo 4,Ace,Aaron Elam,332400.0
United States,Street Fighter V,NuckleDu,Du Cong Dang,331099.2
United States,Dota 2,mason,Mason Venne,330530.36
United States,Fortnite,72hrs,Thomas Mulligan,330033.33
United States,Call of Duty: World War II,ZooMaa,Tom Paparratto,329519.6
United States,SMITE,BaRRaCCuDDa,John Salter,329506.65
United States,Fortnite,Vinny,Vinny Gilgan,324313.8
United States,SMITE,JeffHindla,Rosario Villardi,322714.31
United States,SMITE,Andinster,Andrew Woodward,321506.65
United States,Call of Duty: World War II,SiLLY,Justin Fargo-Palmer,315388.85
United States,Call of Duty: World War II,Kenny,Kenneth Williams,314825.0
United States,SMITE,MLCst3alth,Brett Felley,313506.65
United States,Call of Duty: Infinite Warfare,Classic,Nicholas Di Costanzo,312699.0
United States,Fortnite,FunkBomb,Trevor Siegler,312691.67
United States,Fortnite,Chap,Ryan Chaplo,312291.67
