country,earliestPrize,earliestPrizeAge,playerID,playerName,totalOverall,totalU18
United States,2019-03-24,16,Bugha,Kyle Giersdorf,3069883.34,3069883.34
Pakistan,2015-01-06,15,SumaiL,Sumail Hassan,3606917.34,2401531.54
United States,2019-04-14,16,EpikWhale,Shane Cotton,1327791.54,1327791.54
United Kingdom,2020-05-17,16,Wolfiez,Jaden Ashman,1306026.67,1306026.67
Netherlands,2018-07-21,16,Mitr0,Dmitri Van de Vrie,711599.81,711599.81
Australia,2016-07-03,16,ana,Anathan Pham,6000411.96,604739.58
United Kingdom,2018-11-23,14,Mongraal,Kyle Jackson,603454.23,603454.23
China,2016-07-08,16,Monet,"Du, Peng",804521.03,556080.91
Sweden,2012-06-18,14,Zai,Ludwig Wåhlberg,2443054.42,466945.49
United Kingdom,2019-03-24,14,BenjyFishy,Benjy David Fish,449594.59,449594.59
"Korea, Republic of",2011-07-06,14,Life,"Lee, Seung Hyun",476629.17,354671.79
United States,2019-05-12,14,Megga,Noam Ackenine,347799.99,347799.99
"Korea, Republic of",2007-07-21,15,Flash,"Lee, Young Ho",660861.28,269972.27
"Korea, Republic of",2013-06-15,17,Faker,"Lee, Sang Hyeok",1256037.23,255575.35
Slovakia,2016-08-31,14,frozen,David Čerňanský,243781.4,243781.4
New Zealand,2014-02-15,13,Zechten,Mason Nethcez,358909.09,239815.67
United States,2019-03-24,14,Clix,Cody Conrod,234925.0,234925.0
Italy,2014-02-01,11,Reynor,Riccardo Romiti,229242.96,229242.96
Canada,2019-05-26,15,Fatch,William Paquin-Brien,226500.0,226500.0
"Korea, Republic of",2013-08-31,16,PawN,"Heo, Won Seok",445971.44,225752.74
Norway,2019-01-06,14,MrSavage,Martin Foss,218878.67,218878.67
Saudi Arabia,2016-10-09,16,Huke,Cuyler Garland,309977.25,211507.25
"Korea, Republic of",2010-11-13,15,Leenock,"Lee, Dong Nyung",288257.14,209948.46
United Kingdom,2016-07-16,13,Scrub Killa,Kyle Robertson,197245.62,197245.62
United States,2013-09-15,15,SonicFox,Dominique Mclean,676770.48,182175.2
Russian Federation,2019-02-15,13,Letw1k3,Mark Danilov,170993.41,170993.41
"Korea, Republic of",2010-10-02,13,Maru,"Cho, Sung Choo",850638.83,159103.66
Norway,2019-06-09,14,Endretta,Endre Byre,148330.0,148330.0
United States,2018-07-20,17,Reverse2k,Malachi Greiner,214791.67,141900.0
China,2014-11-30,17,Uzi,"Jian, Zihao",545447.56,139506.28
"Korea, Republic of",2006-05-11,16,Bisu,"Kim, Taek Yong",335135.56,116615.86
United States,2016-05-29,12,Boomie,Zack Bielamowicz,112911.0,112911.0
Philippines,2016-02-20,17,Raven,Marc Polo Luis Fausto,598393.1,108831.3
United States,2000-02-01,15,ZeRo4,John Hill,164646.66,104300.0
Mexico,2016-05-22,15,MKLeo,Leonardo Perez,215377.9,102230.3
China,2012-10-13,15,Zzitai,"Liu, Zhihao",191889.12,98351.11
"Korea, Republic of",2011-05-14,14,Creator,"Jang, Hyun Woo",138567.59,97422.56
China,2014-11-02,16,Meiko,"Tian, Ye",337832.12,96986.87
China,2016-12-04,17,N9,"Wang, Hao",240706.41,96106.41
Estonia,2016-12-31,17,ropz,Robin Kool,485660.74,87973.1
"Korea, Republic of",2010-10-02,15,TaeJa,"Yoon, Young Suh",298679.63,84662.6
Indonesia,2018-10-21,15,Luxxy,Made Bagus Prabaswara,83448.64,83448.64
Indonesia,2018-10-21,15,Zuxxy,Made Bagas Pramudita,83448.64,83448.64
"Korea, Republic of",2010-11-13,17,MarineKing,"Lee, Jung Hoon",212397.14,82768.05
Canada,2017-07-22,17,Twistzz,Russel Van Dulken,820376.43,81126.43
