game,genre,numberPlayers,numberTournaments,totalOverall
Age of Empires,Strategy,246,95,190075.61
Age of Empires II,Strategy,801,497,1417624.06
Age of Empires III,Strategy,86,72,66463.85
Age of Empires Online,Strategy,11,5,1800.0
Age of Mythology,Strategy,22,6,52360.0
Auto Chess,Strategy,72,6,1076322.28
Brawl Stars,Strategy,51,10,94950.0
Chess.com,Strategy,519,127,653228.54
chess24,Strategy,45,5,477876.21
Clash of Clans,Strategy,77,3,751576.87
Clash Royale,Strategy,222,39,2293020.39
Command & Conquer 3,Strategy,9,8,53086.67
Company of Heroes 2,Strategy,11,6,8561.22
ComPet,Strategy,50,1,2000.0
Dota Underlords,Strategy,62,36,26024.18
Endgods,Strategy,0,0,0.0
Farming Simulator 19,Strategy,84,12,158361.3
Grey Goo,Strategy,18,5,36400.0
Lichess,Strategy,72,50,403525.0
osu!,Strategy,971,7,23100.0
Playchess.com,Strategy,68,3,23677.36
Pokémon VGC,Strategy,170,24,211500.0
Prophecy,Strategy,27,4,13000.0
Rise of Nations: Rise of Legends,Strategy,8,1,69600.0
Sea of Thieves,Strategy,0,0,0.0
StarCraft II,Strategy,2044,5848,33017749.29
StarCraft: Brood War,Strategy,674,571,8251181.43
Super Mario Party,Strategy,4,1,220.0
Supreme Commander,Strategy,0,1,4901.26
Supreme Commander: Forged Alliance,Strategy,0,1,1290.01
Teamfight Tactics,Strategy,131,11,594539.65
TEPPEN,Strategy,12,1,456721.47
Tetr.io,Strategy,6,4,1260.19
UNO,Strategy,16,2,20000.0
WarCraft III,Strategy,558,1335,5811479.73
WarCraft III: Reforged,Strategy,55,50,89667.43
"Warhammer 40,000: Dawn of War",Strategy,7,3,79816.5
"Warhammer 40,000: Dawn of War II",Strategy,0,0,0.0
Warparty,Strategy,4,1,1000.0
Windjammers,Strategy,31,10,4132.16
World in Conflict,Strategy,38,11,293338.23
World of Tanks,Strategy,403,50,3656496.59
World of Tanks Blitz,Strategy,14,6,63330.0
Aliens versus Predator 2,First-Person Shooter,1,1,40000.0
Battalion 1944,First-Person Shooter,114,21,185654.67
Battalion 1944,First-Person Shooter,0,0,0.0
Battlefield 1,First-Person Shooter,0,0,0.0
Battlefield 2,First-Person Shooter,0,12,91715.22
Battlefield 2142,First-Person Shooter,0,4,18546.14
Battlefield 3,First-Person Shooter,5,7,25407.46
Battlefield 4,First-Person Shooter,204,145,245766.46
Battlefield 5,First-Person Shooter,0,0,0.0
Battlefield Hardline,First-Person Shooter,20,1,13463.28
Big Buck Hunter Arcade,First-Person Shooter,3,1,76200.0
Black Squad,First-Person Shooter,57,17,8480.72
Borderlands 3,First-Person Shooter,0,0,0.0
Call of Duty,First-Person Shooter,51,3,50629.77
Call of Duty 2,First-Person Shooter,41,17,66828.51
Call of Duty 4: Modern Warfare,First-Person Shooter,422,86,420331.47
Call of Duty: Advanced Warfare,First-Person Shooter,784,404,2608808.93
Call of Duty: Black Ops,First-Person Shooter,117,22,347393.48
Call of Duty: Black Ops 2,First-Person Shooter,184,53,1467139.25
Call of Duty: Black Ops 4,First-Person Shooter,437,81,7264452.0
Call of Duty: Black Ops III,First-Person Shooter,420,78,3939783.29
Call of Duty: Ghosts,First-Person Shooter,199,76,1594185.25
Call of Duty: Infinite Warfare,First-Person Shooter,341,80,4156205.06
Call of Duty: Mobile,First-Person Shooter,0,0,0.0
Call of Duty: Modern Warfare,First-Person Shooter,243,34,1529784.5
Call of Duty: Modern Warfare 2,First-Person Shooter,40,8,60010.64
Call of Duty: Modern Warfare 3,First-Person Shooter,206,39,1134475.66
Call of Duty: Warzone,First-Person Shooter,303,43,996163.37
Call of Duty: World War II,First-Person Shooter,266,64,4559271.0
Counter-Strike,First-Person Shooter,4137,994,13492961.87
Counter-Strike Online,First-Person Shooter,70,12,406989.6
Counter-Strike: Condition Zero,First-Person Shooter,111,3,162150.6
Counter-Strike: Global Offensive,First-Person Shooter,12886,5057,98196757.51
Counter-Strike: Source,First-Person Shooter,1499,333,3115972.29
Critical Ops,First-Person Shooter,4,3,12606.41
CrossFire,First-Person Shooter,629,306,6448845.02
Crysis,First-Person Shooter,0,2,11340.95
Day of Defeat,First-Person Shooter,37,3,50300.0
Day of Defeat: Source,First-Person Shooter,50,8,14068.57
Descent 3,First-Person Shooter,1,1,50000.0
Diabotical,First-Person Shooter,46,13,5535.93
Doom (2016),First-Person Shooter,6,1,7000.0
Doom 3,First-Person Shooter,14,4,257748.16
Doom II: Hell on Earth,First-Person Shooter,1,2,1000.0
Echo Arena,First-Person Shooter,0,0,0.0
Enemy Territory: Quake Wars,First-Person Shooter,27,4,60923.12
Escape from Tarkov,First-Person Shooter,3,2,54600.0
Evolve,First-Person Shooter,110,33,131509.05
F.E.A.R.,First-Person Shooter,20,5,178000.0
Ghost Recon Advanced Warfighter,First-Person Shooter,0,2,24000.0
Gray Basin,First-Person Shooter,0,0,0.0
Gundam Versus,First-Person Shooter,6,1,280.0
Guns of Boom,First-Person Shooter,8,21,198750.0
Halo 2,First-Person Shooter,119,71,1489362.47
Halo 2 Anniversary,First-Person Shooter,97,20,468705.05
Halo 3,First-Person Shooter,210,41,2158079.4
Halo 4,First-Person Shooter,66,19,430748.76
Halo 5: Guardians,First-Person Shooter,233,75,7071480.97
Halo: Combat Evolved,First-Person Shooter,114,39,299281.0
Halo: Infinite,First-Person Shooter,0,0,0.0
Halo: Reach,First-Person Shooter,101,29,822089.97
Ironsight,First-Person Shooter,0,0,0.0
Islands of Nyne,First-Person Shooter,0,0,0.0
MechWarrior Online,First-Person Shooter,0,1,143490.0
Metal Gear Online,First-Person Shooter,37,8,8000.0
Overwatch,First-Person Shooter,3482,737,21928183.28
Painkiller,First-Person Shooter,48,13,1015000.0
Paladins,First-Person Shooter,188,30,1530026.63
Point Blank,First-Person Shooter,297,32,699167.75
Quake 4,First-Person Shooter,100,52,556678.51
Quake Champions,First-Person Shooter,210,197,2245853.43
Quake II,First-Person Shooter,32,10,140179.5
Quake III Arena,First-Person Shooter,243,100,1137832.19
Quake Live,First-Person Shooter,213,410,682294.04
QuakeWorld,First-Person Shooter,47,14,99083.7
Rage,First-Person Shooter,3,1,5000.0
Rainbow Six Siege,First-Person Shooter,1527,226,12159469.7
Rainbow Six: Vegas,First-Person Shooter,137,7,176400.77
Rainbow Six: Vegas 2,First-Person Shooter,0,8,79000.0
Realm Royale,First-Person Shooter,47,9,263000.0
Reflex,First-Person Shooter,21,7,2158.4
Return to Castle Wolfenstein,First-Person Shooter,30,3,67424.3
S.K.I.L.L. - Special Force 2,First-Person Shooter,82,21,132532.93
S.T.A.L.K.E.R.: Shadow of Chernobyl,First-Person Shooter,0,1,4901.26
Shadowrun,First-Person Shooter,0,3,24000.0
ShootMania Storm,First-Person Shooter,80,40,261687.04
Special Force,First-Person Shooter,0,3,130250.0
Splatoon,First-Person Shooter,3,4,1390.0
Splatoon 2,First-Person Shooter,13,7,10055.0
Star Wars Jedi Knight II: Jedi Outcast,First-Person Shooter,0,1,7679.25
Sudden Attack,First-Person Shooter,0,0,0.0
Team Fortress 2,First-Person Shooter,1352,186,709559.83
Uncharted 4: A Thief's End,First-Person Shooter,5,1,46235.07
Unreal Tournament,First-Person Shooter,14,5,89000.0
Unreal Tournament (2016),First-Person Shooter,82,8,5084.97
Unreal Tournament 2003,First-Person Shooter,33,14,147473.91
Unreal Tournament 2004,First-Person Shooter,41,12,133969.33
Unreal Tournament 3,First-Person Shooter,7,4,104977.82
VALORANT,First-Person Shooter,713,105,399140.16
Warface,First-Person Shooter,32,2,109555.0
Warsow,First-Person Shooter,2,1,183.0
Wolfenstein: Enemy Territory,First-Person Shooter,152,18,140963.24
Xonotic,First-Person Shooter,123,20,2743.21
Zula,First-Person Shooter,20,1,100000.0
Arena of Valor,Multiplayer Online Battle Arena,536,49,14556095.63
Battlerite,Multiplayer Online Battle Arena,86,75,65173.45
Bloodline Champions,Multiplayer Online Battle Arena,43,12,41905.32
Creative Destruction,Multiplayer Online Battle Arena,8,1,100000.0
Defense of the Ancients,Multiplayer Online Battle Arena,468,94,857420.65
Dofus,Multiplayer Online Battle Arena,0,0,0.0
Dota 2,Multiplayer Online Battle Arena,3691,1394,224942531.46
Heavy Metal Machines,Multiplayer Online Battle Arena,35,1,12339.33
Heroes of Newerth,Multiplayer Online Battle Arena,816,371,2915206.56
Heroes of the Storm,Multiplayer Online Battle Arena,1205,459,18170133.73
League of Legends,Multiplayer Online Battle Arena,6947,2439,75571470.8
Legend of Glory,Multiplayer Online Battle Arena,0,1,472.66
Minecraft,Multiplayer Online Battle Arena,22,11,84839.15
MOBA Legends,Multiplayer Online Battle Arena,3,1,225.0
Mobile Legends: Bang Bang,Multiplayer Online Battle Arena,0,0,0.0
Shards of War,Multiplayer Online Battle Arena,20,1,1029.21
SMITE,Multiplayer Online Battle Arena,522,95,8640112.75
