country,mostGame,mostGameResults,playerID,playerName,results,totalOnline
United States,Super Smash Bros. Melee,353,Mew2King,Jason Zimmerman,608,280667.81
United States,Super Smash Bros. Melee,269,Hungrybox,Juan Debiedma,292,369610.81
United States,Super Smash Bros. Melee,239,SFAT,Zachary Cordoni,241,78270.78
United States,Super Smash Bros. Melee,211,Plup,Justin McGrath,236,109479.62
United States,Ultimate Marvel vs. Capcom 3,83,NYChrisG,Christopher Gonzalez,232,60895.62
United States,Super Smash Bros. Melee,225,Westballz,Weston Dennis,230,55232.36
Canada,Super Smash Bros. for Wii U,109,Ally,Elliot Carroza-Oyarce,206,115742.99
United States,Ultimate Marvel vs. Capcom 3,29,Justin Wong,Justin Wong,203,129074.66
United States,Super Smash Bros. Melee,197,Mango,Joseph Marquez,202,192211.35
United States,Super Smash Bros. for Wii U,105,Nairo,Nairoby Quezada,201,129582.29
Sweden,Super Smash Bros. Melee,179,Armada,Adam Lindgren,199,313155.59
Sweden,Counter-Strike: Global Offensive,114,f0rest,Patrik Lindberg,196,670756.59
United States,Super Smash Bros. Melee,186,Colbol,Colin Green,188,25581.09
United States,Super Smash Bros. Melee,181,Lucky,Joey Aldama,184,38615.35
United States,Super Smash Bros. Melee,132,ChuDat,Daniel Rodriguez,182,47520.2
United States,Super Smash Bros. Melee,182,S2J,Johnny Kim,182,44784.43
Poland,Counter-Strike: Global Offensive,108,TaZ,Wiktor Wojtas,181,693368.82
Poland,Counter-Strike: Global Offensive,105,neo,Filip Kubski,180,718261.55
Ukraine,Counter-Strike,90,Edward,Ioann Sukharev,178,673790.27
Sweden,Counter-Strike: Global Offensive,113,GeT_RiGhT,Christopher Alesund,177,565937.17
United States,Super Smash Bros. Melee,174,Shroomed,Dajuan McDaniel,174,37012.74
Ukraine,Counter-Strike: Global Offensive,87,Zeus,Daniil Teslenko,172,750084.66
Chile,Super Smash Bros. for Wii U,114,ZeRo,Gonzalo Barrios,168,181778.89
United States,Super Smash Bros. Melee,160,Mafia,James Lauerman,160,18177.54
United States,Super Smash Bros. Melee,106,Wizzrobe,Justin Hallett,155,58261.66
United States,Super Smash Bros. for Wii U,82,ESAM,Eric Lew,154,68872.38
United Kingdom,Super Smash Bros. Melee,124,Professor Pro,Aaron Thomas,151,30807.26
United States,Super Smash Bros. Melee,145,La Luna,Ryan Coker-Welch,149,33240.55
United States,Super Smash Bros. Melee,115,Nintendude,Michael Brancato,145,13989.42
Sweden,Super Smash Bros. Melee,131,Leffen,William Hjelte,142,160367.52
United States,Super Smash Bros. Melee,142,MacD,McCain LaVelle,142,19032.27
Denmark,Counter-Strike: Global Offensive,106,karrigan,Finn Andersen,141,901700.52
France,Counter-Strike: Global Offensive,105,shox,Richard Papillon,139,530075.45
Poland,Counter-Strike: Global Offensive,97,pashaBiceps,Jarosław Jarząbkowski,132,596268.13
Sweden,Counter-Strike: Global Offensive,100,Xizt,Richard Landström,132,513102.11
United States,Super Smash Bros. for Wii U,78,Larry Lurr,Larry Holland,131,61825.07
