country,mostGame,mostGameResults,playerID,playerName,results,totalOnline
Ukraine,StarCraft II,373,Bly,Aleksandr Svusuyk,375,46699.89
Poland,StarCraft II,361,Nerchio,Artur Bloch,361,107713.3
"Korea, Republic of",StarCraft II,278,Solar,"Kang, Min Soo",278,66485.93
Russian Federation,WarCraft III,129,Happy,Dmitry Kostin,262,47291.04
Norway,StarCraft II,221,Snute,Jens Aasgaard,221,57715.39
"Korea, Republic of",StarCraft II,215,GuMiho,"Koh, Byung Jae",215,44612.39
Poland,StarCraft II,171,MaNa,Grzegorz Komincz,174,47574.22
"Korea, Republic of",StarCraft II,171,Byun,"Byun, Hyun Woo",171,52109.4
"Korea, Republic of",StarCraft II,156,TRUE,"Bang, Tae Su",158,28421.3
"Korea, Republic of",StarCraft II,157,aLive,"Han, Lee Seok",157,17717.74
"Korea, Republic of",WarCraft III,149,FoCuS,"Eom, Hyo Sub",153,52170.38
"Korea, Republic of",StarCraft II,148,Zest,"Joo, Sung Wook",148,46441.51
"Korea, Republic of",StarCraft II,145,KeeN,"Hwang, Kyo Seok",145,15057.14
"Korea, Republic of",StarCraft II,136,HyuN,"Ko, Seok Hyun",138,58979.72
Netherlands,StarCraft II,137,uThermal,Marc Schlappi,137,34182.19
Poland,StarCraft II,137,souL,Piotr Walukiewicz,137,17846.87
Germany,StarCraft II,135,ShoWTimE,Tobias Sieber,135,39142.42
"Korea, Republic of",StarCraft II,133,INnoVation,"Lee, Shin Hyung",133,59916.25
"Korea, Republic of",StarCraft II,133,Impact,"Kim, Joon Hyuk",133,18465.35
Poland,StarCraft II,129,Elazer,Mikołaj Ogonowski,129,27961.22
Germany,StarCraft II,125,GoOdy,Sascha Lupp,126,17625.9
Canada,StarCraft II,121,Scarlett,Sasha Hostyn,121,49061.4
Mexico,StarCraft II,119,SpeCial,Juan Carlos Lopez,120,84358.28
Mexico,StarCraft II,120,Cham,Pablo Cham Blanco,120,34317.41
Brazil,StarCraft II,118,Kelazhur,Diego Schwimer,119,64670.3
Germany,CrossFire,119,phaze,Fabian Brandmair,119,22333.46
United States,StarCraft II,114,Neeb,Alex Sunderhaft,116,59765.17
Ukraine,StarCraft II,107,Kas,Mihaylo Hayda,111,27716.58
Russian Federation,Quake Live,109,evil,Sergey Orekhov,109,13509.8
France,StarCraft II,108,Clem,Clément Desplanches,108,18106.04
Kazakhstan,StarCraft II,107,PiLiPiLi,Pavel Pilipenko,108,10943.36
Germany,StarCraft II,107,HeRoMaRinE,Gabriel Segat,107,28723.32
Germany,StarCraft II,106,TLO,Dario Wünsch,106,23970.18
United States,StarCraft II,105,puCK,Leiya Qual,105,18487.82
"Korea, Republic of",StarCraft II,104,Cure,"Kim, Doh Wook",104,19389.94
Serbia,Age of Empires II,103,DauT,Darko Dautovic,103,57670.73
Italy,Rocket League,102,Kuxir97,Francesco Cinquemani,102,65699.56
Sweden,StarCraft II,101,Namshar,Christoffer Kolmodin,101,11881.82
Ukraine,WarCraft III,92,Foggy,Andrij Korenj,100,25764.71
France,Rocket League,98,Kaydop,Courant Alexandre,98,125220.67
Germany,CrossFire,98,Loones,Eugen Schönfeld,98,16734.68
Germany,CrossFire,97,ReijN,Ricardo Schugt,97,15069.37
Germany,StarCraft II,78,HasuObs,Dennis Schneider,96,58228.8
Germany,CrossFire,96,bL4ME,Bartu Baykan,96,11073.01
Netherlands,StarCraft II,95,Harstem,Kevin de Koning,95,18509.37
Norway,Age of Empires II,94,TheViper,Ørjan Larsen,94,74063.61
Germany,Rocket League,94,paschy90,Philipp Paschmeier,94,34625.25
Belarus,Quake Live,70,Cypher,Alexei Yanushevsky,93,21894.69
"Korea, Republic of",StarCraft II,92,Hydra,"Shin, Dong Won",92,21397.17
United States,Counter-Strike: Global Offensive,89,food,Victor Wong,91,70080.33
France,StarCraft II,91,DnS,Adrien Bouet,91,16839.66
United States,Counter-Strike: Global Offensive,89,no_one,Matt Congdon,89,78665.05
Poland,Counter-Strike: Global Offensive,89,MORELZ,Piotr Taterka,89,37003.74
Poland,League of Legends,88,Libik,Marek Kręgiel,88,16260.3
"Korea, Republic of",StarCraft II,87,Creator,"Jang, Hyun Woo",87,28930.34
Netherlands,Rocket League,86,remkoe,Remco den Boer,86,55283.88
France,Rocket League,85,Fairy Peak,Victor Locquet,85,101068.1
United States,Counter-Strike: Global Offensive,85,ptr,Peter Gurney,85,76037.15
Norway,Rocket League,85,gReazymeister,Marius Ranheim,85,29795.56
Denmark,Rocket League,85,Maestro,Nicolai Bang,85,26257.42
United Kingdom,Rocket League,85,Markydooda,Mark Exton,85,20043.35
Poland,League of Legends,85,Makler,Marek Kukier,85,12419.0
France,StarCraft II,69,Lilbow,David Moschetto,84,42104.64
Germany,StarCraft II,76,Socke,Giacomo Thüs,84,22259.4
Netherlands,CrossFire,84,FLEXX,Abdulkadir Yegin,84,14217.9
Germany,CrossFire,82,nLs,Niels Harms,82,12163.96
United States,Counter-Strike: Global Offensive,80,Stewie2k,Jakey Yip,81,163840.0
Bulgaria,Counter-Strike: Global Offensive,81,bubble,Kamen Kostadinov,81,57865.79
"Korea, Republic of",StarCraft II,81,Patience,"Jo, Ji Hyun",81,19751.74
United States,StarCraft II,81,JonSnow,Jarod George,81,16324.57
New Zealand,Attack on Titan Tribute Game,69,Zechten,Mason Nethcez,80,358909.09
France,StarCraft II,80,PtitDrogo,Théo Freydière,80,26394.68
Spain,Age of Empires II,79,TaToH,Roberto Jiménez,80,24851.37
Italy,StarCraft II,80,Reynor,Riccardo Romiti,80,19413.27
Germany,CrossFire,80,Snox,Devin Ince,80,17211.49
"Korea, Republic of",StarCraft II,79,soO,"Eu, Yoon Su",79,63473.48
"Korea, Republic of",WarCraft III,79,ReMinD,"Kim, Sung Sik",79,28629.19
"Korea, Republic of",StarCraft II,79,herO,"Kim, Joon Ho",79,21202.32
Germany,CrossFire,79,SEVEN,Luca Bayati,79,15717.58
Poland,StarCraft II,79,Guru,Szymon Nieciąg,79,7229.23
United States,Call of Duty: Advanced Warfare,40,Crimsix,Ian Porter,78,67292.08
Poland,Counter-Strike: Global Offensive,78,minise,Jacek Jeziak,78,45413.63
"Korea, Republic of",StarCraft II,77,Ryung,"Kim, Dong Won",77,14861.43
Russian Federation,Battlefield 4,41,uNFixed,Andrei Leonov,77,12255.84
France,StarCraft II,69,MarineLorD,Alexis Eusebio,76,22310.07
Ukraine,StarCraft II,74,DIMAGA,Dmytro Filipchuk,76,13266.75
"Korea, Republic of",WarCraft III,76,Lucifer,"Noh, Jae Wook",76,11299.85
Serbia,StarCraft II,76,Beastyqt,Aleksandar Krstić,76,8563.77
Germany,Counter-Strike: Global Offensive,75,tabseN,Johannes Wodarz,75,77556.19
Sweden,Counter-Strike: Global Offensive,74,flusha,Robin Rönnquist,74,104773.63
Mexico,Counter-Strike: Global Offensive,74,MarKE,Omar Jimenez,74,79366.66
Poland,League of Legends,74,Kubon,Jakub Turewicz,74,14788.51
Estonia,Battlefield 4,41,vallutaja,Hendrik-William Kinks,74,8985.4
Germany,CrossFire,73,Jin,Yannick Gemp,73,9156.35
Netherlands,Battlefield 4,41,Morte,Tom Kerbusch,73,8971.0
Netherlands,Rocket League,72,ViolentPanda,Jos van Meurs,72,119642.58
Bulgaria,Counter-Strike: Global Offensive,72,v1c7oR,Viktor Dyankov,72,46142.76
Canada,Counter-Strike: Global Offensive,72,LilmaN,Derrick Boyne,72,42320.84
Canada,StarCraft II,72,MaSa,Maru Kim,72,27203.21
Germany,Rocket League,72,SikiiCEM,Alex Karelin,72,14150.71
Spain,StarCraft: Brood War,53,eOnzErG,Jose Luis,53,2518.38
Montenegro,Counter-Strike: Global Offensive,52,Lobanjica,Nikola Mijomanovic,52,69800.0
Russian Federation,Dota 2,52,633,Stanislav Glushan,52,42653.72
Poland,Counter-Strike: Global Offensive,52,Gruby,Dominik Swiderski,52,40394.77
Bulgaria,Counter-Strike: Global Offensive,52,SPELLAN,Teodor Nikolov,52,34079.47
China,Age of Empires II,52,_TheYo_,"-, -",52,25568.62
Brazil,Counter-Strike: Global Offensive,50,bit,Bruno Lima,52,21045.85
"Korea, Republic of",StarCraft II,52,Dream,"Cho, Joong Hyuk",52,6545.26
France,Counter-Strike: Global Offensive,51,Amanek,Francois Delaunay,51,80825.2
Canada,Rocket League,50,SquishyMuffinz,Mariano Arruda,51,63814.68
Finland,Counter-Strike: Global Offensive,51,sAw,Eetu Saha,51,63679.45
United States,Call of Duty: Advanced Warfare,24,Clayster,James Eubanks,51,46073.25
Sweden,Counter-Strike: Global Offensive,51,robiin,Robin Sjögren,51,39113.17
Finland,StarCraft II,51,Serral,Joona Sotala,51,35928.06
United States,Counter-Strike: Global Offensive,51,REZU,Jeff Ngo,51,32312.62
Canada,Call of Duty: Advanced Warfare,19,Karma,Damon Barlow,51,28460.75
Canada,Rocket League,51,Sadjunior,Kais Zehri,51,13498.01
